Status,Name,Adv,Date,Key,Contents
Hurricane,Bonnie,39,1998-08-28T15:00:00Z,NA,NA
Hurricane,Bonnie,39A,1998-08-28T18:00:00Z,NA,NA
Tropical Storm,Bonnie,40,1998-08-28T21:00:00Z,NA,NA
Tropical Storm,Bonnie,40A,1998-08-29T00:00:00Z,NA,NA
Tropical Storm,Bonnie,41,1998-08-29T03:00:00Z,NA,NA
Tropical Storm,Bonnie,42,1998-08-29T09:00:00Z,NA,NA
Tropical Storm,Bonnie,43,1998-08-29T15:00:00Z,NA,NA
Tropical Storm,Bonnie,44,1998-08-29T21:00:00Z,NA,NA
Tropical Storm,Bonnie,45,1998-08-30T03:00:00Z,NA,NA
Tropical Storm,Bonnie,46,1998-08-30T09:00:00Z,NA,NA
Tropical Storm,Bonnie,47,1998-08-30T15:00:00Z,NA,NA
Tropical Depression,Three,1,1998-08-21T15:00:00Z,NA,NA
Tropical Depression,Three,1A,1998-08-21T18:00:00Z,NA,NA
Tropical Storm,Charley,2,1998-08-21T21:00:00Z,NA,NA
Tropical Storm,Charley,2A,1998-08-22T00:00:00Z,NA,NA
Tropical Storm,Charley,3,1998-08-22T03:00:00Z,NA,NA
Tropical Storm,Charley,4,1998-08-22T09:00:00Z,NA,NA
Tropical Storm,Charley,4A,1998-08-22T12:00:00Z,NA,NA
Tropical Depression,Charley,5,1998-08-22T15:00:00Z,NA,NA
Tropical Depression,Four,1,1998-08-24T15:30:00Z,NA,NA
Tropical Storm,Danielle,2,1998-08-24T21:00:00Z,NA,NA
Tropical Storm,Danielle,3,1998-08-25T03:00:00Z,NA,NA
Tropical Storm,Danielle,4,1998-08-25T09:00:00Z,NA,NA
Hurricane,Danielle,5,1998-08-25T15:00:00Z,NA,NA
Hurricane,Danielle,6,1998-08-25T21:00:00Z,NA,NA
Hurricane,Danielle,7,1998-08-26T03:00:00Z,NA,NA
Hurricane,Danielle,8,1998-08-26T09:00:00Z,NA,NA
Hurricane,Danielle,9,1998-08-26T15:00:00Z,NA,NA
Hurricane,Danielle,10,1998-08-26T21:00:00Z,NA,NA
Hurricane,Danielle,11,1998-08-27T03:00:00Z,NA,NA
Hurricane,Danielle,12,1998-08-27T09:00:00Z,NA,NA
Hurricane,Danielle,13,1998-08-27T15:00:00Z,NA,NA
Hurricane,Danielle,14,1998-08-27T21:00:00Z,NA,NA
Hurricane,Danielle,15,1998-08-28T03:00:00Z,NA,NA
Hurricane,Danielle,16,1998-08-28T09:00:00Z,NA,NA
Hurricane,Danielle,17,1998-08-28T15:00:00Z,NA,NA
Hurricane,Danielle,18,1998-08-28T21:00:00Z,NA,NA
Hurricane,Danielle,19,1998-08-29T03:00:00Z,NA,NA
Hurricane,Danielle,20,1998-08-29T09:00:00Z,NA,NA
Hurricane,Danielle,21,1998-08-29T15:00:00Z,NA,NA
Hurricane,Danielle,22,1998-08-29T21:00:00Z,NA,NA
Hurricane,Danielle,23,1998-08-30T03:00:00Z,NA,NA
Hurricane,Danielle,24,1998-08-30T09:00:00Z,NA,NA
Hurricane,Danielle,25,1998-08-30T15:00:00Z,NA,NA
Hurricane,Danielle,26,1998-08-30T21:00:00Z,NA,NA
Hurricane,Danielle,27,1998-08-31T03:00:00Z,NA,NA
Hurricane,Danielle,28,1998-08-31T09:00:00Z,NA,NA
Hurricane,Danielle,29,1998-08-31T15:00:00Z,NA,NA
