Key,Adv,Date,WindField,NE,SE,SW,NW
AL011998,7,1998-07-29T03:00:00Z,34,100,50,50,100
AL011998,8,1998-07-29T09:00:00Z,34,100,50,50,100
AL011998,9,1998-07-29T15:00:00Z,34,100,50,50,100
AL011998,10,1998-07-29T21:00:00Z,34,100,50,50,100
AL011998,11,1998-07-30T03:00:00Z,34,100,50,50,100
AL011998,12,1998-07-30T09:00:00Z,34,100,50,50,100
AL011998,13,1998-07-30T15:00:00Z,34,100,50,50,100
AL011998,14,1998-07-30T21:00:00Z,34,100,50,50,100
AL011998,15,1998-07-31T03:00:00Z,34,100,50,50,100
AL011998,16,1998-07-31T09:00:00Z,34,125,75,75,125
AL011998,17,1998-07-31T15:00:00Z,34,125,25,25,125
AL011998,18,1998-07-31T21:00:00Z,34,125,0,0,125
AL011998,19,1998-08-01T03:00:00Z,34,125,30,30,125
AL011998,20,1998-08-01T09:00:00Z,34,125,30,30,125
AL011998,21,1998-08-01T15:00:00Z,34,125,30,30,125
AL011998,22,1998-08-01T21:00:00Z,34,130,30,30,130
AL011998,23,1998-08-02T03:00:00Z,34,100,0,0,100
AL011998,25,1998-08-02T15:00:00Z,34,120,0,0,100
AL011999,4,1999-06-12T15:00:00Z,34,60,30,30,30
AL011999,5,1999-06-12T21:00:00Z,34,60,30,30,30
AL011999,6,1999-06-13T03:00:00Z,34,80,60,50,50
AL011999,7,1999-06-13T09:00:00Z,34,100,75,50,50
AL011999,7,1999-06-13T09:00:00Z,50,40,20,20,20
AL011999,8,1999-06-13T15:00:00Z,34,100,75,50,75
AL011999,8,1999-06-13T15:00:00Z,50,40,30,30,40
AL011999,9,1999-06-13T21:00:00Z,34,90,90,75,90
AL011999,9,1999-06-13T21:00:00Z,50,40,30,40,40
AL011999,10,1999-06-14T03:00:00Z,34,90,75,75,90
AL011999,11,1999-06-14T09:00:00Z,34,90,75,75,90
AL011999,12,1999-06-14T15:00:00Z,34,100,75,75,75
AL011999,13,1999-06-14T21:00:00Z,34,100,75,75,75
AL011999,14,1999-06-15T03:00:00Z,34,100,100,50,50
AL011999,15,1999-06-15T09:00:00Z,34,100,100,50,50
AL011999,16,1999-06-15T15:00:00Z,34,100,100,50,50
AL011999,17,1999-06-15T21:00:00Z,34,100,100,50,50
AL011999,18,1999-06-16T03:00:00Z,34,125,50,50,75
AL011999,18,1999-06-16T03:00:00Z,50,100,0,0,0
AL011999,19,1999-06-16T06:00:00Z,34,125,50,50,75
AL011999,19,1999-06-16T06:00:00Z,50,100,0,0,0
AL011999,20,1999-06-16T09:00:00Z,34,125,50,50,75
AL011999,20,1999-06-16T09:00:00Z,50,100,0,0,0
AL011999,21,1999-06-16T15:00:00Z,34,90,60,60,90
AL011999,22,1999-06-16T21:00:00Z,34,90,60,60,90
AL011999,23,1999-06-17T03:00:00Z,34,110,60,0,90
AL012001,1,2001-06-05T19:00:00Z,34,175,175,0,30
AL012001,1,2001-06-05T19:00:00Z,50,100,100,0,0
AL012001,2,2001-06-05T21:00:00Z,34,175,175,0,30
AL012001,2,2001-06-05T21:00:00Z,50,100,100,0,0
AL012001,3,2001-06-06T03:00:00Z,34,100,150,0,0
AL012002,4,2002-07-15T15:00:00Z,34,60,60,40,0
AL012002,5,2002-07-15T21:00:00Z,34,75,110,60,30
AL012002,5,2002-07-15T21:00:00Z,50,30,40,20,0
AL012002,6,2002-07-16T03:00:00Z,34,100,200,150,50
AL012002,6,2002-07-16T03:00:00Z,50,30,50,30,0
AL012002,7,2002-07-16T09:00:00Z,34,100,200,150,50
AL012002,7,2002-07-16T09:00:00Z,50,30,50,30,0
AL012002,8,2002-07-16T15:00:00Z,34,100,200,150,50
AL012002,8,2002-07-16T15:00:00Z,50,30,50,30,0
AL012002,9,2002-07-16T21:00:00Z,34,120,200,150,100
AL012002,9,2002-07-16T21:00:00Z,50,30,50,30,0
AL012003,1,2003-04-21T03:00:00Z,34,60,60,60,60
AL012003,2,2003-04-21T09:00:00Z,34,60,60,60,60
AL012003,3,2003-04-21T15:00:00Z,34,60,60,60,60
AL012003,4,2003-04-21T21:00:00Z,34,60,60,60,60
AL012003,5,2003-04-22T03:00:00Z,34,60,75,75,60
AL012003,6,2003-04-22T09:00:00Z,34,60,75,75,60
AL012003,7,2003-04-22T15:00:00Z,34,75,125,125,75
AL012003,8,2003-04-22T21:00:00Z,34,75,200,200,75
AL012003,9,2003-04-23T03:00:00Z,34,75,175,175,75
AL012003,10,2003-04-23T09:00:00Z,34,75,175,175,75
AL012003,11,2003-04-23T15:00:00Z,34,50,125,125,50
AL012003,12,2003-04-23T21:00:00Z,34,50,125,125,50
AL012003,13,2003-04-24T03:00:00Z,34,100,0,0,100
AL012004,5,2004-08-01T21:00:00Z,34,0,50,50,0
AL012004,6,2004-08-02T03:00:00Z,34,0,50,50,0
AL012004,7,2004-08-02T09:00:00Z,34,60,90,90,0
AL012004,8,2004-08-02T12:00:00Z,34,60,90,90,0
AL012004,8,2004-08-02T12:00:00Z,50,0,40,0,0
AL012004,9,2004-08-02T15:00:00Z,34,75,90,60,20
AL012004,9,2004-08-02T15:00:00Z,50,30,30,0,0
AL012004,10,2004-08-02T21:00:00Z,34,75,90,50,30
AL012004,10,2004-08-02T21:00:00Z,50,30,30,20,20
AL012004,11,2004-08-03T03:00:00Z,34,75,90,50,30
AL012004,11,2004-08-03T03:00:00Z,50,30,30,20,20
AL012004,12,2004-08-03T09:00:00Z,34,75,90,50,40
AL012004,12,2004-08-03T09:00:00Z,50,30,30,30,20
AL012004,12,2004-08-03T09:00:00Z,64,20,20,20,0
AL012004,13,2004-08-03T15:00:00Z,34,75,90,50,40
AL012004,13,2004-08-03T15:00:00Z,50,30,50,30,20
AL012004,13,2004-08-03T15:00:00Z,64,20,20,20,0
AL012004,14,2004-08-03T21:00:00Z,34,90,90,75,50
AL012004,14,2004-08-03T21:00:00Z,50,60,50,30,30
AL012004,14,2004-08-03T21:00:00Z,64,30,30,20,15
AL012004,15,2004-08-04T03:00:00Z,34,80,100,75,50
AL012004,15,2004-08-04T03:00:00Z,50,40,50,40,20
AL012004,15,2004-08-04T03:00:00Z,64,15,40,30,15
AL012004,16,2004-08-04T09:00:00Z,34,60,120,75,75
AL012004,16,2004-08-04T09:00:00Z,50,40,75,50,50
AL012004,16,2004-08-04T09:00:00Z,64,20,50,30,15
AL012004,17,2004-08-04T15:00:00Z,34,60,120,75,75
AL012004,17,2004-08-04T15:00:00Z,50,40,75,50,50
AL012004,17,2004-08-04T15:00:00Z,64,20,50,30,15
AL012004,18,2004-08-04T21:00:00Z,34,75,150,75,75
AL012004,18,2004-08-04T21:00:00Z,50,50,75,50,50
AL012004,18,2004-08-04T21:00:00Z,64,25,50,25,15
AL012004,19,2004-08-05T03:00:00Z,34,80,150,130,70
AL012004,19,2004-08-05T03:00:00Z,50,50,80,60,50
AL012004,19,2004-08-05T03:00:00Z,64,30,50,30,20
AL012004,20,2004-08-05T09:00:00Z,34,80,150,130,70
AL012004,20,2004-08-05T09:00:00Z,50,50,80,60,50
AL012004,20,2004-08-05T09:00:00Z,64,30,50,30,20
AL012004,21,2004-08-05T15:00:00Z,34,80,300,300,70
AL012004,21,2004-08-05T15:00:00Z,50,50,80,60,50
AL012004,21,2004-08-05T15:00:00Z,64,30,50,30,20
AL012004,22,2004-08-05T21:00:00Z,34,75,300,300,75
AL012004,22,2004-08-05T21:00:00Z,50,50,75,50,30
AL012004,22,2004-08-05T21:00:00Z,64,25,50,25,0
AL012004,23,2004-08-06T03:00:00Z,34,75,300,300,75
AL012004,23,2004-08-06T03:00:00Z,50,50,75,50,30
AL012004,23,2004-08-06T03:00:00Z,64,25,50,25,0
AL012004,24,2004-08-06T09:00:00Z,34,75,300,300,75
AL012004,24,2004-08-06T09:00:00Z,50,50,75,50,30
AL012004,24,2004-08-06T09:00:00Z,64,25,50,25,0
AL012004,25,2004-08-06T15:00:00Z,34,75,300,300,75
AL012004,25,2004-08-06T15:00:00Z,50,50,75,50,30
AL012005,4,2005-06-09T12:00:00Z,34,130,0,0,0
AL012005,5,2005-06-09T15:00:00Z,34,130,0,0,0
AL012005,6,2005-06-09T21:00:00Z,34,120,0,0,0
AL012005,NA,2005-06-10T03:00:00Z,34,100,0,0,0
AL012005,8,2005-06-10T09:00:00Z,34,120,0,0,0
AL012005,9,2005-06-10T15:00:00Z,34,130,0,0,0
AL012005,9,2005-06-10T15:00:00Z,50,100,0,0,0
AL012005,10,2005-06-10T21:00:00Z,34,130,100,0,40
AL012005,10,2005-06-10T21:00:00Z,50,100,0,0,0
AL012005,11,2005-06-11T03:00:00Z,34,140,120,0,75
AL012005,11,2005-06-11T03:00:00Z,50,75,0,0,45
AL012005,12,2005-06-11T09:00:00Z,34,140,120,0,75
AL012005,12,2005-06-11T09:00:00Z,50,75,0,0,45
AL012005,13,2005-06-11T15:00:00Z,34,130,120,0,75
AL012005,13,2005-06-11T15:00:00Z,50,75,0,0,45
AL012005,14,2005-06-11T21:00:00Z,34,30,100,0,0
AL012006,6,2006-06-11T15:00:00Z,34,150,150,0,0
AL012006,7,2006-06-11T21:00:00Z,34,200,150,0,0
AL012006,8,2006-06-12T03:00:00Z,34,200,150,0,0
AL012006,9,2006-06-12T09:00:00Z,34,200,150,0,0
AL012006,10,2006-06-12T15:00:00Z,34,200,150,0,0
AL012006,10,2006-06-12T15:00:00Z,50,125,100,0,0
AL012006,11,2006-06-12T21:00:00Z,34,200,150,0,60
AL012006,11,2006-06-12T21:00:00Z,50,125,100,0,30
AL012006,12,2006-06-13T03:00:00Z,34,140,140,0,60
AL012006,12,2006-06-13T03:00:00Z,50,60,60,0,30
AL012006,13,2006-06-13T09:00:00Z,34,90,150,30,60
AL012006,13,2006-06-13T09:00:00Z,50,30,50,0,30
AL012006,14,2006-06-13T15:00:00Z,34,60,100,60,60
AL012006,15,2006-06-13T21:00:00Z,34,150,150,0,0
AL012006,16,2006-06-14T03:00:00Z,34,130,0,0,0
AL012007,1,2007-05-09T15:00:00Z,34,100,100,60,60
AL012007,2,2007-05-09T21:00:00Z,34,100,100,0,0
AL012007,3,2007-05-10T03:00:00Z,34,90,90,0,0
AL012007,4,2007-05-10T09:00:00Z,34,90,90,0,0
AL012008,1,2008-05-31T17:00:00Z,34,225,100,0,0
AL012008,2,2008-05-31T21:00:00Z,34,225,100,0,0
AL012008,3,2008-06-01T03:00:00Z,34,175,175,0,0
AL012008,4,2008-06-01T09:00:00Z,34,175,200,0,0
AL012010,3,2010-06-26T09:00:00Z,34,90,90,0,0
AL012010,4,2010-06-26T15:00:00Z,34,100,100,0,100
AL012010,5,2010-06-26T21:00:00Z,34,100,75,30,30
AL012010,5,2010-06-26T21:00:00Z,50,0,0,20,0
AL012010,6,2010-06-27T03:00:00Z,34,90,75,30,30
AL012010,6,2010-06-27T03:00:00Z,50,0,15,0,0
AL012010,7,2010-06-27T09:00:00Z,34,90,90,0,0
AL012010,10,2010-06-28T03:00:00Z,34,150,20,20,100
AL012010,11,2010-06-28T09:00:00Z,34,60,30,30,60
AL012010,12,2010-06-28T15:00:00Z,34,60,30,30,60
AL012010,12,2010-06-28T15:00:00Z,50,25,0,0,0
AL012010,13,2010-06-28T21:00:00Z,34,60,30,30,45
AL012010,13,2010-06-28T21:00:00Z,50,25,0,0,0
AL012010,14,2010-06-29T03:00:00Z,34,60,30,30,50
AL012010,14,2010-06-29T03:00:00Z,50,25,0,0,0
AL012010,15,2010-06-29T09:00:00Z,34,90,90,30,50
AL012010,15,2010-06-29T09:00:00Z,50,45,20,15,20
AL012010,16,2010-06-29T15:00:00Z,34,120,100,40,100
AL012010,16,2010-06-29T15:00:00Z,50,60,30,15,20
AL012010,17,2010-06-29T21:00:00Z,34,150,100,50,100
AL012010,17,2010-06-29T21:00:00Z,50,60,30,15,20
AL012010,18,2010-06-30T03:00:00Z,34,150,150,75,125
AL012010,18,2010-06-30T03:00:00Z,50,75,75,30,60
AL012010,18,2010-06-30T03:00:00Z,64,15,15,15,15
AL012010,19,2010-06-30T09:00:00Z,34,175,150,90,130
AL012010,19,2010-06-30T09:00:00Z,50,80,75,45,60
AL012010,19,2010-06-30T09:00:00Z,64,20,20,15,15
AL012010,20,2010-06-30T15:00:00Z,34,175,150,100,130
AL012010,20,2010-06-30T15:00:00Z,50,80,60,30,40
AL012010,20,2010-06-30T15:00:00Z,64,50,20,15,15
AL012010,21,2010-06-30T21:00:00Z,34,175,180,120,130
AL012010,21,2010-06-30T21:00:00Z,50,90,80,80,40
AL012010,21,2010-06-30T21:00:00Z,64,60,30,15,15
AL012010,22,2010-07-01T03:00:00Z,34,180,180,120,120
AL012010,22,2010-07-01T03:00:00Z,50,90,90,60,50
AL012010,22,2010-07-01T03:00:00Z,64,30,30,15,15
AL012010,23,2010-07-01T09:00:00Z,34,180,180,75,90
AL012010,23,2010-07-01T09:00:00Z,50,75,75,30,30
AL012010,23,2010-07-01T09:00:00Z,64,20,20,10,10
AL012010,24,2010-07-01T15:00:00Z,34,90,90,45,60
AL012010,25,2010-07-01T21:00:00Z,34,60,60,105,60
AL012011,1,2011-06-29T00:00:00Z,34,100,40,0,0
AL012011,2,2011-06-29T03:00:00Z,34,100,40,0,0
AL012011,3,2011-06-29T09:00:00Z,34,100,40,0,0
AL012011,4,2011-06-29T15:00:00Z,34,120,60,40,40
AL012011,5,2011-06-29T21:00:00Z,34,120,60,40,40
AL012011,6,2011-06-30T03:00:00Z,34,120,60,100,40
AL012011,6,2011-06-30T03:00:00Z,50,60,40,70,0
AL012011,7,2011-06-30T09:00:00Z,34,180,120,60,80
AL012011,7,2011-06-30T09:00:00Z,50,50,50,0,0
AL012011,8,2011-06-30T15:00:00Z,34,80,120,40,80
AL012011,8,2011-06-30T15:00:00Z,50,50,50,0,0
AL012011,9,2011-06-30T21:00:00Z,34,75,75,0,10
AL012012,1,2012-05-19T21:00:00Z,34,40,0,30,40
AL012012,2,2012-05-20T03:00:00Z,34,40,0,30,50
AL012012,3,2012-05-20T09:00:00Z,34,40,0,0,60
AL012012,4,2012-05-20T15:00:00Z,34,40,0,0,60
AL012012,5,2012-05-20T21:00:00Z,34,40,20,40,50
AL012012,6,2012-05-21T03:00:00Z,34,40,20,30,60
AL012012,7,2012-05-21T09:00:00Z,34,40,20,30,50
AL012012,8,2012-05-21T15:00:00Z,34,40,20,30,50
AL012012,9,2012-05-21T21:00:00Z,34,20,30,30,30
AL012013,1,2013-06-05T22:00:00Z,34,50,120,0,0
AL012013,2,2013-06-06T03:00:00Z,34,60,120,0,0
AL012013,3,2013-06-06T09:00:00Z,34,90,120,0,0
AL012013,3,2013-06-06T09:00:00Z,50,50,70,0,0
AL012013,4,2013-06-06T15:00:00Z,34,90,120,0,0
AL012013,4,2013-06-06T15:00:00Z,50,50,70,0,0
AL012013,5,2013-06-06T21:00:00Z,34,80,120,60,60
AL012013,5,2013-06-06T21:00:00Z,50,30,30,0,0
AL012013,6,2013-06-07T03:00:00Z,34,100,120,0,0
AL012013,7,2013-06-07T09:00:00Z,34,100,120,0,0
AL012013,8,2013-06-07T15:00:00Z,34,130,140,0,0
AL012013,9,2013-06-07T21:00:00Z,34,0,200,0,0
AL012013,10,2013-06-08T03:00:00Z,34,0,200,0,0
AL012013,11,2013-06-08T09:00:00Z,34,0,200,0,0
AL012013,12,2013-06-08T15:00:00Z,34,0,220,0,0
AL012014,3,2014-07-01T15:00:00Z,34,0,40,40,0
AL012014,4,2014-07-01T21:00:00Z,34,40,60,50,40
AL012014,5,2014-07-02T03:00:00Z,34,40,60,50,40
AL012014,6,2014-07-02T09:00:00Z,34,60,70,0,40
AL012014,6,2014-07-02T09:00:00Z,50,30,30,0,0
AL012014,7,2014-07-02T15:00:00Z,34,60,70,50,40
AL012014,7,2014-07-02T15:00:00Z,50,30,30,0,0
AL012014,8,2014-07-02T21:00:00Z,34,70,70,60,50
AL012014,8,2014-07-02T21:00:00Z,50,30,30,0,30
AL012014,9,2014-07-03T03:00:00Z,34,70,80,60,50
AL012014,9,2014-07-03T03:00:00Z,50,30,30,20,30
AL012014,10,2014-07-03T09:00:00Z,34,70,80,60,50
AL012014,10,2014-07-03T09:00:00Z,50,30,50,20,30
AL012014,10,2014-07-03T09:00:00Z,64,0,20,0,0
AL012014,NA,2014-07-03T15:00:00Z,34,100,100,60,50
AL012014,NA,2014-07-03T15:00:00Z,50,40,50,20,30
AL012014,NA,2014-07-03T15:00:00Z,64,20,20,0,0
AL012014,12,2014-07-03T21:00:00Z,34,110,130,80,60
AL012014,12,2014-07-03T21:00:00Z,50,50,60,20,30
AL012014,12,2014-07-03T21:00:00Z,64,30,30,0,20
AL012014,13,2014-07-04T03:00:00Z,34,110,130,80,60
AL012014,13,2014-07-04T03:00:00Z,50,50,80,50,30
AL012014,13,2014-07-04T03:00:00Z,64,30,35,30,20
AL012014,14,2014-07-04T09:00:00Z,34,100,110,90,50
AL012014,14,2014-07-04T09:00:00Z,50,50,80,60,30
AL012014,14,2014-07-04T09:00:00Z,64,30,35,30,20
AL012014,15,2014-07-04T15:00:00Z,34,100,110,70,60
AL012014,15,2014-07-04T15:00:00Z,50,60,80,40,30
AL012014,15,2014-07-04T15:00:00Z,64,25,35,20,20
AL012014,16,2014-07-04T21:00:00Z,34,120,140,100,70
AL012014,16,2014-07-04T21:00:00Z,50,60,90,40,30
AL012014,16,2014-07-04T21:00:00Z,64,20,60,20,10
AL012014,17,2014-07-05T03:00:00Z,34,120,140,100,70
AL012014,17,2014-07-05T03:00:00Z,50,60,100,70,40
AL012014,17,2014-07-05T03:00:00Z,64,45,60,45,0
AL012014,18,2014-07-05T09:00:00Z,34,100,140,100,70
AL012014,18,2014-07-05T09:00:00Z,50,50,100,70,40
AL012014,19,2014-07-05T15:00:00Z,34,140,180,140,70
AL012014,19,2014-07-05T15:00:00Z,50,0,60,90,0
AL012015,1,2015-05-08T03:00:00Z,34,140,0,80,120
AL012015,2,2015-05-08T09:00:00Z,34,140,60,80,120
AL012015,3,2015-05-08T15:00:00Z,34,130,100,60,100
AL012015,4,2015-05-08T21:00:00Z,34,100,100,80,100
AL012015,5,2015-05-09T03:00:00Z,34,100,120,80,100
AL012015,5,2015-05-09T03:00:00Z,50,80,0,0,0
AL012015,6,2015-05-09T09:00:00Z,34,100,110,80,90
AL012015,6,2015-05-09T09:00:00Z,50,70,0,0,0
AL012015,7,2015-05-09T15:00:00Z,34,100,110,80,90
AL012015,7,2015-05-09T15:00:00Z,50,50,50,0,0
AL012015,8,2015-05-09T21:00:00Z,34,100,110,80,90
AL012015,8,2015-05-09T21:00:00Z,50,50,50,0,0
AL012015,9,2015-05-10T03:00:00Z,34,90,110,60,50
AL012015,9,2015-05-10T03:00:00Z,50,50,50,0,0
AL012015,10,2015-05-10T09:00:00Z,34,70,110,60,40
AL012015,11,2015-05-10T15:00:00Z,34,60,110,0,0
AL012016,1,2016-01-13T21:00:00Z,34,60,120,120,0
AL012016,2,2016-01-14T03:00:00Z,34,60,120,120,0
AL012016,2,2016-01-14T03:00:00Z,50,0,30,0,0
AL012016,3,2016-01-14T09:00:00Z,34,120,130,100,30
AL012016,3,2016-01-14T09:00:00Z,50,30,30,0,0
AL012016,4,2016-01-14T15:00:00Z,34,120,130,100,50
AL012016,4,2016-01-14T15:00:00Z,50,30,40,30,20
AL012016,4,2016-01-14T15:00:00Z,64,20,20,0,0
AL012016,5,2016-01-14T21:00:00Z,34,150,150,100,100
AL012016,5,2016-01-14T21:00:00Z,50,40,60,30,40
AL012016,5,2016-01-14T21:00:00Z,64,20,20,0,0
AL012016,6,2016-01-15T03:00:00Z,34,150,150,100,100
AL012016,6,2016-01-15T03:00:00Z,50,40,60,30,40
AL012016,6,2016-01-15T03:00:00Z,64,20,20,0,0
AL012016,NA,2016-01-15T09:00:00Z,34,180,150,100,100
AL012016,NA,2016-01-15T09:00:00Z,50,50,50,30,40
AL012016,NA,2016-01-15T09:00:00Z,64,20,20,0,0
AL012016,8,2016-01-15T15:00:00Z,34,400,300,180,150
AL012016,8,2016-01-15T15:00:00Z,50,150,150,30,40
AL012016,9,2016-01-15T21:00:00Z,34,420,420,240,120
AL012016,9,2016-01-15T21:00:00Z,50,300,120,30,40
AL012017,6,2017-04-20T21:00:00Z,34,90,90,0,0
AL012017,7,2017-04-21T03:00:00Z,34,150,90,0,0
AL012017,8,2017-04-21T09:00:00Z,34,200,100,0,120
AL012017,9,2017-04-21T15:00:00Z,34,200,100,0,120
AL021998,5,1998-08-20T21:00:00Z,34,100,50,50,100
AL021998,6,1998-08-21T03:00:00Z,34,125,25,25,125
AL021998,7,1998-08-21T09:00:00Z,34,125,25,25,125
AL021998,8,1998-08-21T15:00:00Z,34,125,25,25,125
AL021998,8,1998-08-21T15:00:00Z,50,30,0,0,30
AL021998,9,1998-08-21T21:00:00Z,34,125,25,25,125
AL021998,9,1998-08-21T21:00:00Z,50,50,0,0,50
AL021998,10,1998-08-22T03:00:00Z,34,150,50,50,150
AL021998,10,1998-08-22T03:00:00Z,50,75,25,25,75
AL021998,11,1998-08-22T09:00:00Z,34,150,50,50,150
AL021998,11,1998-08-22T09:00:00Z,50,75,25,25,50
AL021998,11,1998-08-22T09:00:00Z,64,30,0,0,30
AL021998,12,1998-08-22T15:00:00Z,34,175,90,90,175
AL021998,12,1998-08-22T15:00:00Z,50,75,25,25,75
AL021998,12,1998-08-22T15:00:00Z,64,40,0,0,40
AL021998,13,1998-08-22T21:00:00Z,34,175,90,90,175
AL021998,13,1998-08-22T21:00:00Z,50,75,75,75,75
AL021998,13,1998-08-22T21:00:00Z,64,40,40,0,40
AL021998,14,1998-08-23T03:00:00Z,34,150,150,100,150
AL021998,14,1998-08-23T03:00:00Z,50,75,75,75,75
AL021998,14,1998-08-23T03:00:00Z,64,40,40,40,40
AL021998,15,1998-08-23T09:00:00Z,34,150,150,100,150
AL021998,15,1998-08-23T09:00:00Z,50,75,75,75,75
AL021998,15,1998-08-23T09:00:00Z,64,40,40,40,40
AL021998,16,1998-08-23T15:00:00Z,34,150,150,100,150
AL021998,16,1998-08-23T15:00:00Z,50,90,90,75,75
AL021998,16,1998-08-23T15:00:00Z,64,40,40,40,40
AL021998,17,1998-08-23T21:00:00Z,34,175,175,100,150
AL021998,17,1998-08-23T21:00:00Z,50,100,100,75,75
AL021998,17,1998-08-23T21:00:00Z,64,75,75,40,40
AL021998,18,1998-08-24T03:00:00Z,34,175,175,100,150
AL021998,18,1998-08-24T03:00:00Z,50,100,100,75,75
AL021998,18,1998-08-24T03:00:00Z,64,75,75,40,40
AL021998,19,1998-08-24T09:00:00Z,34,175,175,125,150
AL021998,19,1998-08-24T09:00:00Z,50,100,100,75,75
AL021998,19,1998-08-24T09:00:00Z,64,75,75,25,40
AL021998,20,1998-08-24T15:00:00Z,34,175,175,125,150
AL021998,20,1998-08-24T15:00:00Z,50,100,100,75,75
AL021998,20,1998-08-24T15:00:00Z,64,75,75,40,40
AL021998,21,1998-08-24T21:00:00Z,34,200,175,125,200
AL021998,21,1998-08-24T21:00:00Z,50,125,100,75,125
AL021998,21,1998-08-24T21:00:00Z,64,75,75,40,75
AL021998,22,1998-08-25T03:00:00Z,34,175,175,125,175
AL021998,22,1998-08-25T03:00:00Z,50,125,125,100,125
AL021998,22,1998-08-25T03:00:00Z,64,90,90,50,90
AL021998,23,1998-08-25T09:00:00Z,34,150,150,125,165
AL021998,23,1998-08-25T09:00:00Z,50,135,125,85,100
AL021998,23,1998-08-25T09:00:00Z,64,125,100,50,90
AL021998,24,1998-08-25T12:00:00Z,34,150,150,125,165
AL021998,24,1998-08-25T12:00:00Z,50,135,125,85,100
AL021998,24,1998-08-25T12:00:00Z,64,125,100,50,90
AL021998,25,1998-08-25T15:00:00Z,34,150,125,125,165
AL021998,25,1998-08-25T15:00:00Z,50,135,110,85,100
AL021998,25,1998-08-25T15:00:00Z,64,125,100,50,75
AL021998,26,1998-08-25T18:00:00Z,34,150,125,125,165
AL021998,26,1998-08-25T18:00:00Z,50,135,110,85,100
AL021998,26,1998-08-25T18:00:00Z,64,125,100,50,75
AL021998,27,1998-08-25T21:00:00Z,34,200,125,125,225
AL021998,27,1998-08-25T21:00:00Z,50,135,110,85,110
AL021998,27,1998-08-25T21:00:00Z,64,125,100,50,75
AL021998,28,1998-08-26T03:00:00Z,34,200,150,125,150
AL021998,28,1998-08-26T03:00:00Z,50,125,125,85,100
AL021998,28,1998-08-26T03:00:00Z,64,125,100,50,75
AL021998,29,1998-08-26T06:00:00Z,34,200,150,125,150
AL021998,29,1998-08-26T06:00:00Z,50,125,125,85,100
AL021998,29,1998-08-26T06:00:00Z,64,125,100,50,75
AL021998,30,1998-08-26T09:00:00Z,34,200,150,125,150
AL021998,30,1998-08-26T09:00:00Z,50,125,125,75,100
AL021998,30,1998-08-26T09:00:00Z,64,100,75,25,50
AL021998,31,1998-08-26T15:00:00Z,34,200,150,100,90
AL021998,31,1998-08-26T15:00:00Z,50,125,125,60,60
AL021998,31,1998-08-26T15:00:00Z,64,100,75,35,50
AL021998,32,1998-08-26T21:00:00Z,34,200,150,90,75
AL021998,32,1998-08-26T21:00:00Z,50,125,100,60,60
AL021998,32,1998-08-26T21:00:00Z,64,100,55,45,50
AL021998,33,1998-08-27T03:00:00Z,34,175,200,100,75
AL021998,33,1998-08-27T03:00:00Z,50,125,125,75,60
AL021998,33,1998-08-27T03:00:00Z,64,100,75,50,50
AL021998,34,1998-08-27T09:00:00Z,34,150,175,100,75
AL021998,34,1998-08-27T09:00:00Z,50,125,125,75,60
AL021998,34,1998-08-27T09:00:00Z,64,90,75,50,25
AL021998,35,1998-08-27T15:00:00Z,34,90,150,60,60
AL021998,35,1998-08-27T15:00:00Z,50,50,75,40,40
AL021998,36,1998-08-27T21:00:00Z,34,90,225,150,50
AL021998,36,1998-08-27T21:00:00Z,50,50,75,40,30
AL021998,37,1998-08-28T03:00:00Z,34,125,225,150,75
AL021998,37,1998-08-28T03:00:00Z,50,75,100,50,50
AL021998,37,1998-08-28T03:00:00Z,64,50,75,0,0
AL021998,38,1998-08-28T09:00:00Z,34,135,200,150,75
AL021998,38,1998-08-28T09:00:00Z,50,100,100,50,60
AL021998,38,1998-08-28T09:00:00Z,64,75,75,0,50
AL021998,39,1998-08-28T15:00:00Z,34,135,200,150,75
AL021998,39,1998-08-28T15:00:00Z,50,100,100,50,60
AL021998,39,1998-08-28T15:00:00Z,64,75,75,0,50
AL021998,40,1998-08-28T21:00:00Z,34,150,240,120,100
AL021998,40,1998-08-28T21:00:00Z,50,60,120,60,80
AL021998,41,1998-08-29T03:00:00Z,34,60,210,120,60
AL021998,41,1998-08-29T03:00:00Z,50,0,120,75,0
AL021998,42,1998-08-29T09:00:00Z,34,50,175,175,50
AL021998,42,1998-08-29T09:00:00Z,50,0,100,75,0
AL021998,43,1998-08-29T15:00:00Z,34,50,175,175,50
AL021998,43,1998-08-29T15:00:00Z,50,0,75,75,0
AL021998,44,1998-08-29T21:00:00Z,34,50,175,175,50
AL021998,45,1998-08-30T03:00:00Z,34,120,180,150,90
AL021998,45,1998-08-30T03:00:00Z,50,45,90,45,0
AL021998,46,1998-08-30T09:00:00Z,34,120,200,200,90
AL021998,46,1998-08-30T09:00:00Z,50,50,75,75,0
AL021998,47,1998-08-30T15:00:00Z,34,120,200,200,90
AL022002,3,2002-08-05T03:00:00Z,34,50,0,0,30
AL022002,4,2002-08-05T09:00:00Z,34,60,0,0,0
AL022002,2,2002-08-05T23:30:00Z,34,50,20,20,35
AL022004,7,2004-08-09T21:00:00Z,34,25,25,25,25
AL022004,8,2004-08-10T03:00:00Z,34,25,25,25,25
AL022004,9,2004-08-10T09:00:00Z,34,25,25,25,25
AL022004,10,2004-08-10T15:00:00Z,34,25,25,25,25
