Key,Name,Wind,StartDate,EndDate
AL032013,Chantal,55,2013-07-08T03:00:00Z,2013-07-10T21:00:00Z
AL032014,Bertha,70,2014-08-01T03:00:00Z,2014-08-06T15:00:00Z
AL032015,Claudette,45,2015-07-13T17:00:00Z,2015-07-15T03:00:00Z
AL032016,Colin,50,2016-06-05T15:00:00Z,2016-06-07T21:00:00Z
AL032017,Cindy,50,2017-06-19T21:00:00Z,2017-06-22T15:00:00Z
AL041998,Danielle,90,1998-08-24T15:30:00Z,1998-09-03T21:00:00Z
AL041999,Cindy,120,1999-08-19T03:00:00Z,1999-08-31T15:00:00Z
AL042000,Four,30,2000-08-09T15:00:00Z,2000-08-11T03:00:00Z
AL042001,Chantal,60,2001-08-15T15:00:00Z,2001-08-22T15:00:00Z
AL042002,Dolly,55,2002-08-29T15:00:00Z,2002-09-04T15:00:00Z
AL042003,Claudette,70,2003-07-08T21:00:00Z,2003-07-16T03:00:00Z
AL042004,Danielle,90,2004-08-13T15:00:00Z,2004-08-21T15:00:00Z
AL042005,Dennis,130,2005-07-05T03:00:00Z,2005-07-11T09:00:00Z
AL042006,Debby,45,2006-08-21T21:00:00Z,2006-08-27T21:00:00Z
AL042007,Dean,145,2007-08-13T15:00:00Z,2007-08-23T03:00:00Z
AL042008,Dolly,85,2008-07-20T15:45:00Z,2008-07-24T21:00:00Z
AL042009,Claudette,45,2009-08-16T09:00:00Z,2009-08-17T09:00:00Z
AL042010,Colin,50,2010-08-02T15:00:00Z,2010-08-08T21:00:00Z
AL042011,Don,45,2011-07-27T21:00:00Z,2011-07-30T09:00:00Z
AL042012,Debby,50,2012-06-23T21:00:00Z,2012-06-27T21:00:00Z
AL042013,Dorian,50,2013-07-24T09:00:00Z,2013-08-03T21:00:00Z
AL042014,Cristobal,75,2014-08-23T21:00:00Z,2014-08-29T15:00:00Z
AL042015,Danny,100,2015-08-18T15:00:00Z,2015-08-24T15:00:00Z
AL042016,Danielle,40,2016-06-19T21:00:00Z,2016-06-21T09:00:00Z
AL051998,Earl,85,1998-08-31T21:00:00Z,1998-09-03T15:00:00Z
AL051999,Dennis,90,1999-08-24T03:00:00Z,1999-09-05T15:00:00Z
AL052000,Beryl,45,2000-08-13T21:00:00Z,2000-08-15T21:00:00Z
AL052001,Dean,60,2001-08-22T18:00:00Z,2001-08-28T15:00:00Z
AL052002,Edouard,55,2002-09-01T21:00:00Z,2002-09-06T15:00:00Z
AL052003,Danny,65,2003-07-16T15:00:00Z,2003-07-20T21:00:00Z
AL052004,Earl,NA,2004-08-13T21:00:00Z,2004-08-16T15:00:00Z
AL052005,Emily,135,2005-07-11T03:00:00Z,2005-07-21T15:00:00Z
AL052006,Ernesto,65,2006-08-24T21:00:00Z,2006-09-01T15:00:00Z
AL052007,Erin,35,2007-08-15T03:00:00Z,2007-08-16T15:00:00Z
AL052008,Edouard,55,2008-08-03T21:00:00Z,2008-08-05T21:00:00Z
AL052009,Danny,50,2009-08-26T15:00:00Z,2009-08-29T09:00:00Z
AL052010,Five,30,2010-08-10T23:30:00Z,2010-08-11T21:00:00Z
AL052011,Emily,45,2011-08-01T23:30:00Z,2011-08-07T21:00:00Z
AL052012,Ernesto,75,2012-08-01T21:00:00Z,2012-08-10T15:00:00Z
AL052013,Erin,35,2013-08-15T03:00:00Z,2013-08-18T21:00:00Z
AL052014,Dolly,45,2014-09-01T21:00:00Z,2014-09-03T15:00:00Z
AL052015,Erika,45,2015-08-25T03:00:00Z,2015-08-29T13:30:00Z
AL052016,Earl,65,2016-08-02T16:00:00Z,2016-08-06T15:00:00Z
AL061998,Frances,55,1998-09-08T21:00:00Z,1998-09-12T03:00:00Z
AL061999,Emily,55,1999-08-24T21:00:00Z,1999-08-28T15:00:00Z
AL062000,Chris,35,2000-08-17T21:00:00Z,2000-08-19T15:00:00Z
AL062001,Erin,105,2001-09-01T21:00:00Z,2001-09-15T03:00:00Z
AL062002,Fay,50,2002-09-05T21:00:00Z,2002-09-07T15:00:00Z
AL062003,Six,30,2003-07-19T21:00:00Z,2003-07-21T21:00:00Z
AL062004,Frances,125,2004-08-25T03:00:00Z,2004-09-07T03:00:00Z
AL062005,Franklin,60,2005-07-21T21:00:00Z,2005-07-29T21:00:00Z
AL062006,Florence,80,2006-09-03T21:00:00Z,2006-09-12T21:00:00Z
AL062007,Felix,145,2007-08-31T21:00:00Z,2007-09-05T09:00:00Z
AL062008,Fay,55,2008-08-15T21:00:00Z,2008-08-24T03:00:00Z
AL062009,Erika,50,2009-09-01T21:00:00Z,2009-09-04T03:00:00Z
AL062010,Danielle,115,2010-08-21T21:00:00Z,2010-08-31T03:00:00Z
AL062011,Franklin,40,2011-08-12T21:00:00Z,2011-08-14T03:00:00Z
AL062012,Florence,50,2012-08-04T03:00:00Z,2012-08-06T15:00:00Z
AL062013,Fernand,45,2013-08-25T21:00:00Z,2013-08-26T21:00:00Z
AL062014,Edouard,100,2014-09-11T15:00:00Z,2014-09-19T21:00:00Z
AL062015,Fred,75,2015-08-30T05:30:00Z,2015-09-06T21:00:00Z
AL062016,Fiona,45,2016-08-17T03:00:00Z,2016-08-23T15:00:00Z
AL071998,Georges,130,1998-09-15T15:00:00Z,1998-09-29T15:00:00Z
AL071999,Seven,30,1999-09-05T21:00:00Z,1999-09-07T15:00:00Z
AL072000,Debby,NA,2000-08-19T21:00:00Z,2000-08-24T15:00:00Z
AL072001,Felix,100,2001-09-07T21:00:00Z,2001-09-19T03:00:00Z
AL072002,Seven,30,2002-09-07T15:00:00Z,2002-09-08T15:00:00Z
AL072003,Seven,30,2003-07-25T18:00:00Z,2003-07-26T09:00:00Z
AL072004,Gaston,60,2004-08-27T21:00:00Z,2004-09-01T09:00:00Z
AL072005,Gert,40,2005-07-23T21:00:00Z,2005-07-25T15:00:00Z
AL072006,Gordon,105,2006-09-11T03:00:00Z,2006-09-20T21:00:00Z
AL072007,Gabrielle,45,2007-09-08T03:00:00Z,2007-09-11T15:00:00Z
AL072008,Gustav,130,2008-08-25T15:00:00Z,2008-09-02T09:00:00Z
AL072009,Fred,105,2009-09-07T21:00:00Z,2009-09-12T21:00:00Z
AL072010,Earl,125,2010-08-25T15:00:00Z,2010-09-05T03:00:00Z
AL072011,Gert,50,2011-08-14T03:00:00Z,2011-08-16T21:00:00Z
AL072012,Helene,40,2012-08-09T21:00:00Z,2012-08-19T03:00:00Z
AL072013,Gabrielle,50,2013-09-04T21:00:00Z,2013-09-13T21:00:00Z
AL072014,Fay,65,2014-10-10T15:00:00Z,2014-10-13T21:00:00Z
AL072015,Grace,45,2015-09-05T15:00:00Z,2015-09-09T15:00:00Z
AL072016,Gaston,105,2016-08-22T21:00:00Z,2016-09-03T09:00:00Z
AL081998,Hermine,40,1998-09-17T21:00:00Z,1998-09-20T15:00:00Z
AL081999,Floyd,135,1999-09-07T21:00:00Z,1999-09-17T09:00:00Z
AL082000,Ernesto,35,2000-09-02T03:00:00Z,2000-09-03T21:00:00Z
AL082001,Gabrielle,70,2001-09-11T21:00:00Z,2001-09-19T03:00:00Z
AL082002,Gustav,80,2002-09-08T15:00:00Z,2002-09-12T09:00:00Z
AL082003,Erika,60,2003-08-14T21:00:00Z,2003-08-17T03:00:00Z
AL082004,Hermine,45,2004-08-29T21:00:00Z,2004-08-31T09:00:00Z
AL082005,Harvey,55,2005-08-02T21:00:00Z,2005-08-08T21:00:00Z
AL082006,Helene,110,2006-09-12T15:00:00Z,2006-09-24T15:00:00Z
AL082007,Ingrid,40,2007-09-12T15:00:00Z,2007-09-17T09:00:00Z
